RESTAURANT SUMMARY MONTH REPORT,
"from: ",26-03-01 00:00 -0500," to: ",26-04-01 00:00 -0400,

Company name:,Hinnawi bros Bagel & Cafe (Sherbrooke),
"Company unique identifier: ",31397,
"Company address: ",Rue Ontario Est 366,
,"Montreal, Canada",


Total revenue:,16799.87,

TAXABLE SALES,
TAXE NAME,TAXE RATE,NET REVENUE,TAXE,TOTAL REVENUE,
No Tax,0%,9709.52,0.00,9709.52,
T.P.S,5%,6167.19,307.92,6475.11,
T.V.Q,9.975%,6167.19,615.24,6782.43,

Total # tickets:,1385,
"Total # customers: ",8,

PAYMENTS,
TYPE,,,AMOUNT,
Cash,,,1784.84,
,Comptant,,1784.84,
Credit Card,,,15015.03,
,Carte de crédit,,9633.80,
,Interac,,5381.23,
TOTAL,,,16799.87,

DAY REVENUES:,
DAY,STARTS,ENDS AT,#,TOTAL,TAXE NAME,TAXE RATE,NET REVENUE,TAXE,TOTAL REVENUE,
1,26-03-01 00:00,26-03-02 00:00,49,638.42,No Tax,0%,399.88,0.00,399.88,
,,,,,T.P.S,5%,207.48,10.36,217.84,
,,,,,T.V.Q,9.975%,207.48,20.70,228.18,
2,26-03-02 00:00,26-03-03 00:00,44,554.23,No Tax,0%,289.85,0.00,289.85,
,,,,,T.P.S,5%,229.97,11.48,241.45,
,,,,,T.V.Q,9.975%,229.97,22.93,252.90,
3,26-03-03 00:00,26-03-04 00:00,40,529.58,No Tax,0%,282.02,0.00,282.02,
,,,,,T.P.S,5%,215.30,10.75,226.05,
,,,,,T.V.Q,9.975%,215.30,21.51,236.81,
4,26-03-04 00:00,26-03-05 00:00,29,250.49,No Tax,0%,156.07,0.00,156.07,
,,,,,T.P.S,5%,82.11,4.09,86.20,
,,,,,T.V.Q,9.975%,82.11,8.22,90.33,
5,26-03-05 00:00,26-03-06 00:00,29,271.95,No Tax,0%,174.59,0.00,174.59,
,,,,,T.P.S,5%,84.67,4.24,88.91,
,,,,,T.V.Q,9.975%,84.67,8.45,93.12,
6,26-03-06 00:00,26-03-07 00:00,47,509.45,No Tax,0%,275.66,0.00,275.66,
